,Symbol,Name
646,ORIENTELEC,Orient Electric Limited
647,RTNPOWER,RattanIndia Power Limited
648,DHANUKA,Dhanuka Agritech Limited
649,WSTCSTPAPR,West Coast Paper Mills Limited
650,WONDERLA,Wonderla Holidays Limited
651,DBCORP,D.B.Corp Limited
652,MASFIN,MAS Financial Services Limited
653,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
654,IBREALEST,Indiabulls Real Estate Limited
655,KKCL,Kewal Kiran Clothing Limited
656,MSTCLTD,Mstc Limited
657,TINPLATE,The Tinplate Company of India Limited
658,PATELENG,Patel Engineering Limited
659,TI,Tilaknagar Industries Limited
660,PRICOLLTD,Pricol Limited
661,SHANTIGEAR,Shanthi Gears Limited
662,HGS,Hinduja Global Solutions Limited
663,PRIVISCL,Privi Speciality Chemicals Limited
664,CHOICEIN,Choice International Limited
665,AARTIPHARM,Aarti Pharmalabs Limited
666,BANCOINDIA,Banco Products (I) Limited
667,MAXESTATES,Max Estates Limited
668,NOCIL,NOCIL Limited
669,JAYNECOIND,Jayaswal Neco Industries Limited
670,WELENT,Welspun Enterprises Limited
671,AARTIDRUGS,Aarti Drugs Limited
672,IIFLSEC,IIFL Securities Limited
673,NFL,National Fertilizers Limited
674,JAMNAAUTO,Jamna Auto Industries Limited
675,PURVA,Puravankara Limited
676,ROSSARI,Rossari Biotech Limited
677,TIPSINDLTD,TIPS Industries Limited
678,JKIL,J.Kumar Infraprojects Limited
679,HEMIPROP,Hemisphere Properties India Limited
680,GALLANTT,Gallantt Ispat Limited
681,HCC,Hindustan Construction Company Limited
682,MUTHOOTMF,Muthoot Microfin Limited
683,DATAMATICS,Datamatics Global Services Limited
684,ORISSAMINE,The Orissa Minerals Development Company Limited
685,JISLJALEQS,Jain Irrigation Systems Limited
686,KALAMANDIR,Sai Silks (Kalamandir) Limited
687,SULA,Sula Vineyards Limited
688,HMAAGRO,HMA Agro Industries Limited
689,ADVENZYMES,Advanced Enzyme Technologies Limited
690,IPL,India Pesticides Limited
691,SINDHUTRAD,Sindhu Trade Links Limited
692,DCBBANK,DCB Bank Limited
693,PAISALO,Paisalo Digital Limited
694,AMIORG,Ami Organics Limited
695,LAOPALA,La Opala RG Limited
696,THANGAMAYL,Thangamayil Jewellery Limited
697,AZAD,Azad Engineering Limited
698,SHARDACROP,Sharda Cropchem Limited
699,SSWL,Steel Strips Wheels Limited
700,TDPOWERSYS,TD Power Systems Limited
701,JTLIND,JTL INDUSTRIES LIMITED
702,EPIGRAL,Epigral Limited
703,TIMETECHNO,Time Technoplast Limited
704,TARC,TARC Limited
705,FCL,Fineotex Chemical Limited
706,VMART,V-Mart Retail Limited
707,RAJRATAN,Rajratan Global Wire Limited
708,LGBBROSLTD,LG Balakrishnan & Bros Limited
709,NUCLEUS,Nucleus Software Exports Limited
710,LUXIND,Lux Industries Limited
711,ASHOKA,Ashoka Buildcon Limited
712,DELTACORP,Delta Corp Limited
713,BCG,Brightcom Group Limited
714,NEOGEN,Neogen Chemicals Limited
715,WABAG,VA Tech Wabag Limited
716,KIRLPNU,Kirloskar Pneumatic Company Limited
717,SHARDAMOTR,Sharda Motor Industries Limited
718,JTEKTINDIA,Jtekt India Limited
719,ITDC,India Tourism Development Corporation Limited
720,BOROLTD,Borosil Limited
721,ASHAPURMIN,Ashapura Minechem Limited
722,IFBIND,IFB Industries Limited
723,SUDARSCHEM,Sudarshan Chemical Industries Limited
724,SUNFLAG,Sunflag Iron And Steel Company Limited
725,HATHWAY,Hathway Cable & Datacom Limited
726,HIKAL,Hikal Limited
727,TATVA,Tatva Chintan Pharma Chem Limited
728,BALMLAWRIE,Balmer Lawrie & Company Limited
729,BHARATRAS,Bharat Rasayan Limited
730,KOLTEPATIL,Kolte - Patil Developers Limited
731,HLEGLAS,HLE Glascoat Limited
732,HINDWAREAP,Hindware Home Innovation Limited
733,FLAIR,Flair Writing Industries Limited
734,INDOCO,Indoco Remedies Limited
735,SAMHI,Samhi Hotels Limited
736,AVALON,Avalon Technologies Limited
737,ORCHPHARMA,Orchid Pharma Limited
738,HARSHA,Harsha Engineers International Limited
739,KDDL,KDDL Limited
740,BAJAJHIND,Bajaj Hindusthan Sugar Limited
741,SANGHVIMOV,Sanghvi Movers Limited
742,ESAFSFB,ESAF Small Finance Bank Limited
743,SUBROS,Subros Limited
744,PILANIINVS,Pilani Investment and Industries Corporation Limited
745,GULFOILLUB,Gulf Oil Lubricants India Limited
746,GREAVESCOT,Greaves Cotton Limited
747,EMUDHRA,eMudhra Limited
748,IDEAFORGE,Ideaforge Technology Limited
749,KIRLOSIND,Kirloskar Industries Limited
750,UFLEX,UFLEX Limited
751,GANESHHOUC,Ganesh Housing Corporation Limited
752,DYNAMATECH,Dynamatic Technologies Limited
753,MAITHANALL,Maithan Alloys Limited
754,TVSSRICHAK,TVS Srichakra Limited
755,LANDMARK,Landmark Cars Limited
756,KSCL,Kaveri Seed Company Limited
757,NAVNETEDUL,Navneet Education Limited
758,TASTYBITE,Tasty Bite Eatables Limited
759,THYROCARE,Thyrocare Technologies Limited
760,SAKSOFT,Saksoft Limited
761,TATAMETALI,Tata Metaliks Limited
762,GMRP&UI,GMR Power and Urban Infra Limited
763,DISHTV,Dish TV India Limited
764,CARTRADE,Cartrade Tech Limited
765,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
766,NILKAMAL,Nilkamal Limited
767,SAGCEM,Sagar Cements Limited
768,DCXINDIA,DCX Systems Limited
769,POLYPLEX,Polyplex Corporation Limited
770,TRIL,Transformers And Rectifiers (India) Limited
771,SANGHIIND,Sanghi Industries Limited
772,SHALBY,Shalby Limited
773,VSTTILLERS,V.S.T Tillers Tractors Limited
774,GRWRHITECH,Garware Hi-Tech Films Limited
775,NRBBEARING,NRB Bearing Limited
776,SUNDARMHLD,Sundaram Finance Holdings Limited
777,AUTOAXLES,Automotive Axles Limited
778,YATHARTH,Yatharth Hospital & Trauma Care Services Limited
779,BANARISUG,Bannari Amman Sugars Limited
780,GENSOL,Gensol Engineering Limited
781,BOMDYEING,Bombay Dyeing & Mfg Company Limited
782,PFOCUS,Prime Focus Limited
783,GUFICBIO,Gufic Biosciences Limited
784,SBCL,Shivalik Bimetal Controls Limited
785,BAJAJCON,Bajaj Consumer Care Limited
786,INNOVACAP,Innova Captab Limited
787,INOXGREEN,Inox Green Energy Services Limited
788,SUNCLAY,Sundaram Clayton Limited
789,SOMANYCERA,Somany Ceramics Limited
790,MOLDTKPAC,Mold-Tek Packaging Limited
791,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
792,DIVGIITTS,Divgi Torqtransfer Systems Limited
793,PRAKASH,Prakash Industries Limited
794,APOLLO,Apollo Micro Systems Limited
795,SANDHAR,Sandhar Technologies Limited
796,GREENPLY,Greenply Industries Limited
797,SWARAJENG,Swaraj Engines Limited
798,WENDT,Wendt (India) Limited
799,STYLAMIND,Stylam Industries Limited
800,CIGNITITEC,Cigniti Technologies Limited
801,MPSLTD,MPS Limited
802,IFGLEXPOR,IFGL Refractories Limited
803,KINGFA,Kingfa Science & Technology (India) Limited
804,SHILPAMED,Shilpa Medicare Limited
805,DREAMFOLKS,Dreamfolks Services Limited
806,SEPC,SEPC Limited
807,IMAGICAA,Imagicaaworld Entertainment Limited
808,UNICHEMLAB,Unichem Laboratories Limited
809,MUKANDLTD,Mukand Limited
810,VENUSPIPES,Venus Pipes & Tubes Limited
811,SEQUENT,Sequent Scientific Limited
812,CARERATING,CARE Ratings Limited
813,PGIL,Pearl Global Industries Limited
814,HERITGFOOD,Heritage Foods Limited
815,BSHSL,Bombay Super Hybrid Seeds Limited
816,TARSONS,Tarsons Products Limited
817,PARAS,Paras Defence and Space Technologies Limited
818,MAHLOG,Mahindra Logistics Limited
819,JINDALPOLY,Jindal Poly Films Limited
820,FIEMIND,Fiem Industries Limited
821,PSPPROJECT,PSP Projects Limited
822,ISMTLTD,ISMT Limited
823,VENKEYS,Venky's (India) Limited
824,BBL,Bharat Bijlee Limited
825,PARAGMILK,Parag Milk Foods Limited
826,DEN,Den Networks Limited
827,ZAGGLE,Zaggle Prepaid Ocean Services Limited
828,IOLCP,IOL Chemicals and Pharmaceuticals Limited
829,ASHIANA,Ashiana Housing Limited
830,PFS,PTC India Financial Services Limited
831,ANUP,The Anup Engineering Limited
832,IMFA,Indian Metals & Ferro Alloys Limited
833,APOLLOPIPE,Apollo Pipes Limited
834,VPRPL,Vishnu Prakash R Punglia Limited
835,DCAL,Dishman Carbogen Amcis Limited
836,GANDHAR,Gandhar Oil Refinery (India) Limited
837,GOODLUCK,Goodluck India Limited
838,OPTIEMUS,Optiemus Infracom Limited
839,SEAMECLTD,Seamec Limited
840,SATIN,Satin Creditcare Network Limited
841,APCOTEXIND,Apcotex Industries Limited
842,GIPCL,Gujarat Industries Power Company Limited
843,LUMAXTECH,Lumax Auto Technologies Limited
844,DOLLAR,Dollar Industries Limited
845,BARBEQUE,Barbeque Nation Hospitality Limited
846,UNIPARTS,Uniparts India Limited
847,VINDHYATEL,Vindhya Telelinks Limited
848,MBAPL,Madhya Bharat Agro Products Limited
849,GOCLCORP,GOCL Corporation Limited
850,DIAMONDYD,Prataap Snacks Limited
851,CONFIPET,Confidence Petroleum India Limited
852,STYRENIX,Styrenix Performance Materials Limited
853,SUPRIYA,Supriya Lifescience Limited
854,EVEREADY,Eveready Industries India Limited
855,GLOBUSSPR,Globus Spirits Limited
856,BEPL,Bhansali Engineering Polymers Limited
857,UGROCAP,Ugro Capital Limited
858,MOREPENLAB,Morepen Laboratories Limited
859,MAYURUNIQ,Mayur Uniquoters Ltd
860,HMT,HMT Limited
861,MUFIN,Mufin Green Finance Limited
862,TIDEWATER,Tide Water Oil Company (India) Limited
863,IKIO,IKIO Lighting Limited
864,REPCOHOME,Repco Home Finance Limited
865,AXISCADES,AXISCADES Technologies Limited
866,FOSECOIND,Foseco India Limited
867,ARTEMISMED,Artemis Medicare Services Limited
868,SOTL,Savita Oil Technologies Limited
869,ANDHRAPAP,ANDHRA PAPER LIMITED
870,SIYSIL,Siyaram Silk Mills Limited
871,HONDAPOWER,Honda India Power Products Limited
872,HINDOILEXP,Hindustan Oil Exploration Company Limited
873,INDIAGLYCO,India Glycols Limited
874,TCNSBRANDS,TCNS Clothing Co. Limited
875,PRECAM,Precision Camshafts Limited
876,EMSLIMITED,EMS Limited
877,SKIPPER,Skipper Limited
878,DHANI,Dhani Services Limited
879,MMFL,MM Forgings Limited
880,VISHNU,Vishnu Chemicals Limited
881,ALEMBICLTD,Alembic Limited
882,LUMAXIND,Lumax Industries Limited
883,KRSNAA,Krsnaa Diagnostics Limited
884,CAMLINFINE,Camlin Fine Sciences Limited
885,YATRA,Yatra Online Limited
886,MANORAMA,Manorama Industries Limited
887,PITTIENG,Pitti Engineering Limited
888,TIRUMALCHM,Thirumalai Chemicals Limited
889,UDS,Updater Services Limited
890,SIRCA,Sirca Paints India Limited
891,SESHAPAPER,Seshasayee Paper and Boards Limited
892,BFUTILITIE,BF Utilities Limited
893,RISHABH,Rishabh Instruments Limited
894,IRMENERGY,IRM Energy Limited
895,RPGLIFE,RPG Life Sciences Limited
896,CARYSIL,CARYSIL LIMITED
897,SDBL,Som Distilleries & Breweries Limited
898,ADFFOODS,ADF Foods Limited
899,ORIENTHOT,Oriental Hotels Limited
900,FILATEX,Filatex India Limited
901,PCJEWELLER,PC Jeweller Limited
902,63MOONS,63 moons technologies limited
903,FINOPB,Fino Payments Bank Limited
904,EVERESTIND,Everest Industries Limited
905,RPSGVENT,RPSG VENTURES LIMITED
906,HUHTAMAKI,Huhtamaki India Limited
907,PRECWIRE,Precision Wires India Limited
908,GTPL,GTPL Hathway Limited
909,ASTEC,Astec LifeSciences Limited
910,XPROINDIA,Xpro India Limited
911,SADHNANIQ,Sadhana Nitrochem Limited
912,GANECOS,Ganesha Ecosphere Limited
913,GREENPOWER,Orient Green Power Company Limited
914,JINDRILL,Jindal Drilling And Industries Limited
915,RUPA,Rupa & Company Limited
916,SANGAMIND,Sangam (India) Limited
917,ARMANFIN,Arman Financial Services Limited
918,ATFL,Agro Tech Foods Limited
919,HIL,HIL Limited
920,MTNL,Mahanagar Telephone Nigam Limited
921,KSL,Kalyani Steels Limited
922,ACCELYA,Accelya Solutions India Limited
923,SASKEN,Sasken Technologies Limited
924,BHARATWIRE,Bharat Wire Ropes Limited
925,SHRIRAMPPS,Shriram Properties Limited
926,INDOSTAR,IndoStar Capital Finance Limited
927,SALASAR,Salasar Techno Engineering Limited
928,VIDHIING,Vidhi Specialty Food Ingredients Limited
929,TNPL,Tamil Nadu Newsprint & Papers Limited
930,PARACABLES,Paramount Communications Limited
931,KIRIINDUS,Kiri Industries Limited
932,TCPLPACK,TCPL Packaging Limited
933,ADORWELD,Ador Welding Limited
934,MANGLMCEM,Mangalam Cement Limited
935,JAGRAN,Jagran Prakashan Limited
936,RIIL,Reliance Industrial Infrastructure Limited
937,SPECTRUM,Spectrum Electrical Industries Limited
938,EXPLEOSOL,Expleo Solutions Limited
939,BFINVEST,BF Investment Limited
940,SHK,S H Kelkar and Company Limited
941,PANAMAPET,Panama Petrochem Limited
942,VAKRANGEE,Vakrangee Limited
943,FMGOETZE,Federal-Mogul Goetze (India) Limited.
944,AEROFLEX,Aeroflex Industries Limited
945,TTKHLTCARE,TTK Healthcare Limited
946,INSECTICID,Insecticides (India) Limited
947,VERANDA,Veranda Learning Solutions Limited
948,THEJO,Thejo Engineering Limited
949,KCP,KCP Limited
950,MOL,Meghmani Organics Limited
951,CANTABIL,Cantabil Retail India Limited
952,THEMISMED,Themis Medicare Limited
953,MARATHON,Marathon Nextgen Realty Limited
954,ARVSMART,Arvind SmartSpaces Limited
955,QUICKHEAL,Quick Heal Technologies Limited
956,SJS,S.J.S. Enterprises Limited
957,SMLISUZU,SML Isuzu Limited
958,GNA,GNA Axles Limited
959,SUBEXLTD,Subex Limited
960,DPSCLTD,DPSC Limited
961,RAMCOIND,Ramco Industries Limited
962,JASH,Jash Engineering Limited
963,SHAKTIPUMP,Shakti Pumps (India) Limited
964,MUFTI,Credo Brands Marketing Limited
965,GEOJITFSL,Geojit Financial Services Limited
966,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
967,YASHO,Yasho Industries Limited
968,TALBROAUTO,Talbros Automotive Components Limited
969,CAPACITE,Capacit'e Infraprojects Limited
970,RANEHOLDIN,Rane Holdings Limited
971,GOKULAGRO,Gokul Agro Resources Limited
972,GOLDIAM,Goldiam International Limited
973,VADILALIND,Vadilal Industries Limited
974,NITINSPIN,Nitin Spinners Limited
975,NELCO,NELCO Limited
976,MADRASFERT,Madras Fertilizers Limited
977,VSSL,Vardhman Special Steels Limited
978,HLVLTD,HLV LIMITED
979,RAMASTEEL,Rama Steel Tubes Limited
980,ROSSELLIND,Rossell India Limited
981,PIXTRANS,Pix Transmissions Limited
982,SUVEN,Suven Life Sciences Limited
983,5PAISA,5Paisa Capital Limited
984,UNITECH,Unitech Limited
985,PNBGILTS,PNB Gilts Limited
986,CENTUM,Centum Electronics Limited
987,AMRUTANJAN,Amrutanjan Health Care Limited
988,HARIOMPIPE,Hariom Pipe Industries Limited
989,MANINDS,Man Industries (India) Limited
990,BCLIND,Bcl Industries Limited
991,PREMEXPLN,Premier Explosives Limited
992,WHEELS,Wheels India Limited
993,NDTV,New Delhi Television Limited
994,DHAMPURSUG,Dhampur Sugar Mills Limited
995,PENIND,Pennar Industries Limited
996,DCW,DCW Limited
997,DREDGECORP,Dredging Corporation of India Limited
998,NSIL,Nalwa Sons Investments Limited
999,SPCENET,Spacenet Enterprises India Limited
1000,GTLINFRA,GTL Infrastructure Limited
1001,SURYODAY,Suryoday Small Finance Bank Limited
1002,UNIVCABLES,Universal Cables Limited
1003,SICALLOG,Sical Logistics Limited
1004,HIMATSEIDE,Himatsingka Seide Limited
1005,FAIRCHEMOR,Fairchem Organics Limited
1006,DEEPINDS,Deep Industries Limited
1007,DWARKESH,Dwarikesh Sugar Industries Limited
1008,IGARASHI,Igarashi Motors India Limited
1009,SHANKARA,Shankara Building Products Limited
1010,SERVOTECH,Servotech Power Systems Limited
1011,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
1012,ACLGATI,Allcargo Gati Limited
1013,CONTROLPR,Control Print Limited
1014,COSMOFIRST,COSMO FIRST LIMITED
1015,HPL,HPL Electric & Power Limited
1016,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
1017,AHL,Abans Holdings Limited
1018,HERANBA,Heranba Industries Limited
1019,ATULAUTO,Atul Auto Limited
1020,GVKPIL,GVK Power & Infrastructure Limited
1021,INDRAMEDCO,Indraprastha Medical Corporation Limited
1022,SIGACHI,Sigachi Industries Limited
1023,NPST,Network People Services Technologies Limited
1024,HITECH,Hi-Tech Pipes Limited
1025,SPIC,Southern Petrochemicals Industries Corporation  Limited
1026,AJMERA,Ajmera Realty & Infra India Limited
1027,MVGJL,Manoj Vaibhav Gems N Jewellers Limited
1028,VASCONEQ,Vascon Engineers Limited
1029,GENESYS,Genesys International Corporation Limited
1030,UTTAMSUGAR,Uttam Sugar Mills Limited
1031,NIITLTD,NIIT Limited
1032,SHAILY,Shaily Engineering Plastics Limited
1033,NAVKARCORP,Navkar Corporation Limited
1034,GEPIL,GE Power India Limited
1035,BAJEL,Bajel Projects Limited
1036,SPAL,S. P. Apparels Limited
1037,APTECHT,Aptech Limited
1038,ANDHRSUGAR,The Andhra Sugars Limited
1039,KUANTUM,Kuantum Papers Limited
1040,KRISHANA,Krishana Phoschem Limited
1041,KITEX,Kitex Garments Limited
1042,CUPID,Cupid Limited
1043,POKARNA,Pokarna Limited
1044,KABRAEXTRU,Kabra Extrusion Technik Limited
1045,STOVEKRAFT,Stove Kraft Limited
1046,DPABHUSHAN,D. P. Abhushan Limited
1047,MONARCH,Monarch Networth Capital Limited
1048,JSLL,Jeena Sikho Lifecare Limited
1049,OMINFRAL,OM INFRA LIMITED
1050,SURAJEST,Suraj Estate Developers Limited
1051,MONTECARLO,Monte Carlo Fashions Limited
1052,NACLIND,NACL Industries Limited
1053,KOKUYOCMLN,Kokuyo Camlin Limited
1054,PENINLAND,Peninsula Land Limited
1055,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
1056,IGPL,IG Petrochemicals Limited
1057,BLKASHYAP,B. L. Kashyap and Sons Limited
1058,KICL,Kalyani Investment Company Limited
1059,TAJGVK,Taj GVK Hotels & Resorts Limited
1060,EKC,Everest Kanto Cylinder Limited
1061,JITFINFRA,JITF Infralogistics Limited
1062,HARDWYN,Hardwyn India Limited
1063,SYNCOMF,Syncom Formulations (India) Limited
1064,BETA,Beta Drugs Limited
1065,EIHAHOTELS,EIH Associated Hotels Limited
1066,ONWARDTEC,Onward Technologies Limited
1067,KSOLVES,Ksolves India Limited
1068,ALICON,Alicon Castalloy Limited
1069,AVTNPL,AVT Natural Products Limited
1070,SATIA,Satia Industries Limited
1071,VALIANTORG,Valiant Organics Limited
1072,SUMMITSEC,Summit Securities Limited
1073,AGARIND,Agarwal Industrial Corporation Limited
1074,NGLFINE,NGL Fine-Chem Limited
1075,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
1076,AWHCL,Antony Waste Handling Cell Limited
1077,NELCAST,Nelcast Limited
1078,OMAXE,Omaxe Limited
1079,MANALIPETC,Manali Petrochemicals Limited
1080,HEUBACHIND,Heubach Colorants India Limited
1081,INDORAMA,Indo Rama Synthetics (India) Limited
1082,COFFEEDAY,Coffee Day Enterprises Limited
1083,OAL,Oriental Aromatics Limited
1084,AVADHSUGAR,Avadh Sugar & Energy Limited
1085,DCMSRIND,DCM Shriram Industries Limited
1086,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1087,RML,Rane (Madras) Limited
1088,REFEX,Refex Industries Limited
1089,ROTO,Roto Pumps Limited
1090,GULPOLY,Gulshan Polyols Limited
1091,MARINE,Marine Electricals (India) Limited
1092,SASTASUNDR,Sastasundar Ventures Limited
1093,RAMRAT,Ram Ratna Wires Limited
1094,SATINDLTD,Sat Industries Limited
1095,BLISSGVS,Bliss GVS Pharma Limited
1096,SOLARA,Solara Active Pharma Sciences Limited
1097,ATL,Allcargo Terminals Limited
1098,MATRIMONY,Matrimony.Com Limited
1099,GMBREW,GM Breweries Limited
1100,STERTOOLS,Sterling Tools Limited
1101,SHALPAINTS,Shalimar Paints Limited
1102,CLSEL,Chaman Lal Setia Exports Limited
1103,INDIANHUME,Indian Hume Pipe Company Limited
1104,TVTODAY,TV Today Network Limited
1105,REPRO,Repro India Limited
1106,IMPAL,India Motor Parts and Accessories Limited
1107,STEELCAS,Steelcast Limited
1108,HESTERBIO,Hester Biosciences Limited
1109,JYOTISTRUC,Jyoti Structures Limited
1110,ZOTA,Zota Health Care LImited
1111,LINCOLN,Lincoln Pharmaceuticals Limited
1112,INDNIPPON,India Nippon Electricals Limited
1113,XCHANGING,Xchanging Solutions Limited
1114,CENTRUM,Centrum Capital Limited
1115,RICOAUTO,Rico Auto Industries Limited
1116,FOCUS,Focus Lighting and Fixtures Limited
1117,KOPRAN,Kopran Limited
1118,BIGBLOC,Bigbloc Construction Limited
1119,SHIVALIK,Shivalik Rasayan Limited
1120,GICHSGFIN,GIC Housing Finance Limited
1121,JAYBARMARU,Jay Bharat Maruti Limited
1122,DLINKINDIA,D-Link (India) Limited
1123,TFCILTD,Tourism Finance Corporation of India Limited
1124,INNOVANA,Innovana Thinklabs Limited
1125,EXCELINDUS,Excel Industries Limited
1126,ONMOBILE,OnMobile Global Limited
1127,GRMOVER,GRM Overseas Limited
1128,REMUS,Remus Pharmaceuticals Limited
1129,TRACXN,Tracxn Technologies Limited
1130,HERCULES,Hercules Hoists Limited
1131,AGSTRA,AGS Transact Technologies Limited
1132,TREL,Transindia Real Estate Limited
1133,ARIHANTSUP,Arihant Superstructures Limited
1134,DVL,Dhunseri Ventures Limited
1135,UNIENTER,Uniphos Enterprises Limited
1136,LIKHITHA,Likhitha Infrastructure Limited
1137,GANESHBE,Ganesh Benzoplast Limited
1138,SKYGOLD,Sky Gold Limited
1139,SPORTKING,Sportking India Limited
1140,FAZE3Q,Faze Three Limited
1141,KAMOPAINTS,Kamdhenu Ventures Limited
1142,CHEMCON,Chemcon Speciality Chemicals Limited
1143,RAJRILTD,Raj Rayon Industries Limited
1144,GFLLIMITED,GFL Limited
1145,INFOBEAN,InfoBeans Technologies Limited
1146,CREATIVE,Creative Newtech Limited
1147,SMCGLOBAL,SMC Global Securities Limited
1148,SNOWMAN,Snowman Logistics Limited
1149,CONSOFINVT,Consolidated Finvest & Holdings Limited
1150,NINSYS,NINtec Systems Limited
1151,ASIANENE,Asian Energy Services Limited
1152,MKPL,M K Proteins Limited
1153,GIRIRAJ,Giriraj Civil Developers Limited
1154,SBGLP,Suratwwala Business Group Limited
1155,BODALCHEM,Bodal Chemicals Limited
1156,RUSHIL,Rushil Decor Limited
1157,V2RETAIL,V2 Retail Limited
1158,VISHNUINFR,Vishnusurya Projects and Infra Limited
1159,BAJAJHCARE,Bajaj Healthcare Limited
1160,CSLFINANCE,CSL Finance Limited
1161,RAMCOSYS,Ramco Systems Limited
1162,PANACEABIO,Panacea Biotec Limited
1163,RSWM,RSWM Limited
1164,NAHARSPING,Nahar Spinning Mills Limited
1165,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
1166,SKMEGGPROD,SKM Egg Products Export (India) Limited
1167,DBOL,Dhampur Bio Organics Limited
1168,NCLIND,NCL Industries Limited
1169,SMSPHARMA,SMS Pharmaceuticals Limited
1170,ACL,Andhra Cements Limited
1171,VHL,Vardhman Holdings Limited
1172,NDRAUTO,Ndr Auto Components Limited
1173,LINC,Linc Limited
1174,ALLSEC,Allsec Technologies Limited
1175,ONEPOINT,One Point One Solutions Limited
1176,RGL,Renaissance Global Limited
1177,DENTALKART,Vasa Denticity Limited
1178,STEELXIND,STEEL EXCHANGE INDIA LIMITED
1179,KAMDHENU,Kamdhenu Limited
1180,AMBIKCO,Ambika Cotton Mills Limited
1181,KELLTONTEC,Kellton Tech Solutions Limited
1182,ICEMAKE,Ice Make Refrigeration Limited
1183,SPENCERS,Spencer's Retail Limited
1184,MOTISONS,Motisons Jewellers Limited
1185,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1186,MAGADSUGAR,Magadh Sugar & Energy Limited
1187,GPTINFRA,GPT Infraprojects Limited
1188,SCHAND,S Chand And Company Limited
1189,ASIANTILES,Asian Granito India Limited
1190,DYCL,Dynamic Cables Limited
1191,SUTLEJTEX,Sutlej Textiles and Industries Limited
1192,E2E,E2E Networks Limited
1193,WEBELSOLAR,Websol Energy System Limited
1194,RADIANTCMS,Radiant Cash Management Services Limited
1195,PPL,Prakash Pipes Limited
1196,CENTENKA,Century Enka Limited
1197,ZEEMEDIA,Zee Media Corporation Limited
1198,GANDHITUBE,Gandhi Special Tubes Limited
1199,MSPL,MSP Steel & Power Limited
1200,YUKEN,Yuken India Limited
1201,HIRECT,Hind Rectifiers Limited
1202,EIMCOELECO,Eimco Elecon (India) Limited
1203,UGARSUGAR,The Ugar Sugar Works Limited
1204,AMNPLST,Amines & Plasticizers Limited
1205,HPAL,HP Adhesives Limited
1206,SREEL,Sreeleathers Limited
1207,ORIENTPPR,Orient Paper & Industries Limited
1208,SPECIALITY,Speciality Restaurants Limited
1209,JUBLINDS,Jubilant Industries Limited
1210,TRU,TruCap Finance Limited
1211,ORIANA,Oriana Power Limited
1212,TNPETRO,Tamilnadu PetroProducts Limited
1213,VIMTALABS,Vimta Labs Limited
1214,DPWIRES,D P Wires Limited
1215,KERNEX,Kernex Microsystems (India) Limited
1216,WINDLAS,Windlas Biotech Limited
1217,DHARMAJ,Dharmaj Crop Guard Limited
1218,VINYAS,Vinyas Innovative Technologies Limited
1219,INDOAMIN,Indo Amines Limited
1220,SILVERTUC,Silver Touch Technologies Limited
1221,GKWLIMITED,GKW Limited
1222,ASALCBR,Associated Alcohols & Breweries Ltd.
1223,MUNJALAU,Munjal Auto Industries Limited
1224,ENIL,Entertainment Network (India) Limited
1225,BLAL,BEML Land Assets Limited
1226,ROHLTD,Royal Orchid Hotels Limited
1227,CHEVIOT,Cheviot Company Limited
1228,WALCHANNAG,Walchandnagar Industries Limited
1229,MANAKSIA,Manaksia Limited
1230,HITECHGEAR,The Hi-Tech Gears Limited
1231,FOODSIN,Foods & Inns Limited
1232,PAKKA,PAKKA LIMITED
1233,BIRLACABLE,Birla Cable Limited
1234,KOTHARIPET,Kothari Petrochemicals Limited
1235,SAKAR,Sakar Healthcare Limited
1236,KOTYARK,Kotyark Industries Limited
1237,TBZ,Tribhovandas Bhimji Zaveri Limited
1238,SANDESH,The Sandesh Limited
1239,HEXATRADEX,Hexa Tradex Limited
1240,BCONCEPTS,Brand Concepts Limited
1241,VINYLINDIA,Vinyl Chemicals (India) Limited
1242,OCCL,Oriental Carbon & Chemicals Limited
1243,DMCC,DMCC SPECIALITY CHEMICALS LIMITED
1244,3IINFOLTD,3i Infotech Limited
1245,STCINDIA,The State Trading Corporation of India Limited
1246,CREST,Crest Ventures Limited
1247,DENORA,De Nora India Limited
1248,SWELECTES,Swelect Energy Systems Limited
1249,ZUARI,Zuari Agro Chemicals Limited
1250,DECCANCE,Deccan Cements Limited
1251,DSSL,Dynacons Systems & Solutions Limited
1252,MOLDTECH,Mold-Tek Technologies Limited
1253,RUBYMILLS,The Ruby Mills Limited
1254,DHANBANK,Dhanlaxmi Bank Limited
1255,URJA,Urja Global Limited
1256,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
1257,MAANALU,Maan Aluminium Limited
1258,MENONBE,Menon Bearings Limited
1259,SUKHJITS,Sukhjit Starch & Chemicals Limited
1260,PLASTIBLEN,Plastiblends India Limited
