,Symbol,Name
151,BALKRISIND,Balkrishna Industries Limited
152,NYKAA,FSN E-Commerce Ventures Limited
153,GMRINFRA,GMR Airports Infrastructure Limited
154,LINDEINDIA,Linde India Limited
155,TATATECH,Tata Technologies Limited
156,UCOBANK,UCO Bank
157,PRESTIGE,Prestige Estates Projects Limited
158,UBL,United Breweries Limited
159,JSL,Jindal Stainless Limited
160,AWL,Adani Wilmar Limited
161,MAZDOCK,Mazagon Dock Shipbuilders Limited
162,TORNTPOWER,Torrent Power Limited
163,UPL,UPL Limited
164,JSWINFRA,JSW Infrastructure Limited
165,CENTRALBK,Central Bank of India
166,ABCAPITAL,Aditya Birla Capital Limited
167,PAGEIND,Page Industries Limited
168,DALBHARAT,Dalmia Bharat Limited
169,APLAPOLLO,APL Apollo Tubes Limited
170,3MINDIA,3M India Limited
171,ACC,ACC Limited
172,KPITTECH,KPIT Technologies Limited
173,L&TFH,L&T Finance Holdings Limited
174,FLUOROCHEM,Gujarat Fluorochemicals Limited
175,OIL,Oil India Limited
176,PAYTM,One 97 Communications Limited
177,PHOENIXLTD,The Phoenix Mills Limited
178,UNOMINDA,UNO Minda Limited
179,DIXON,Dixon Technologies (India) Limited
180,SUNDARMFIN,Sundaram Finance Limited
181,BANDHANBNK,Bandhan Bank Limited
182,COFORGE,Coforge Limited
183,FEDERALBNK,The Federal Bank  Limited
184,RVNL,Rail Vikas Nigam Limited
185,SONACOMS,Sona BLW Precision Forgings Limited
186,JUBLFOOD,Jubilant Foodworks Limited
187,COROMANDEL,Coromandel International Limited
188,THERMAX,Thermax Limited
189,OFSS,Oracle Financial Services Software Limited
190,KALYANKJIL,Kalyan Jewellers India Limited
191,POLICYBZR,PB Fintech Limited
192,SJVN,SJVN Limited
193,NLCINDIA,NLC India Limited
194,AIAENG,AIA Engineering Limited
195,NIACL,The New India Assurance Company Limited
196,METROBRAND,Metro Brands Limited
197,M&MFIN,Mahindra & Mahindra Financial Services Limited
198,DEEPAKNTR,Deepak Nitrite Limited
199,POONAWALLA,Poonawalla Fincorp Limited
200,PETRONET,Petronet LNG Limited
201,ESCORTS,Escorts Kubota Limited
202,MFSL,Max Financial Services Limited
203,HONAUT,Honeywell Automation India Limited
204,VOLTAS,Voltas Limited
205,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
206,MAHABANK,Bank of Maharashtra
207,GUJGASLTD,Gujarat Gas Limited
208,CRISIL,CRISIL Limited
209,GLAND,Gland Pharma Limited
210,FORTIS,Fortis Healthcare Limited
211,BDL,Bharat Dynamics Limited
212,STARHEALTH,Star Health and Allied Insurance Company Limited
213,MANYAVAR,Vedant Fashions Limited
214,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
215,LLOYDSME,Lloyds Metals And Energy Limited
216,BSE,BSE Limited
217,BIOCON,Biocon Limited
218,LICHSGFIN,LIC Housing Finance Limited
219,KEI,KEI Industries Limited
220,IGL,Indraprastha Gas Limited
221,ANGELONE,Angel One Limited
222,JKCEMENT,JK Cement Limited
223,ITI,ITI Limited
224,PSB,Punjab & Sind Bank
225,APOLLOTYRE,Apollo Tyres Limited
226,DELHIVERY,Delhivery Limited
227,IPCALAB,IPCA Laboratories Limited
228,SYNGENE,Syngene International Limited
229,KPRMILL,K.P.R. Mill Limited
230,TATACHEM,Tata Chemicals Limited
231,SUNTV,Sun TV Network Limited
232,NAM-INDIA,Nippon Life India Asset Management Limited
233,IREDA,Indian Renewable Energy Development Agency Limited
234,MSUMI,Motherson Sumi Wiring India Limited
235,ENDURANCE,Endurance Technologies Limited
236,EXIDEIND,Exide Industries Limited
237,KANSAINER,Kansai Nerolac Paints Limited
238,AJANTPHARM,Ajanta Pharma Limited
239,HINDCOPPER,Hindustan Copper Limited
240,ZEEL,Zee Entertainment Enterprises Limited
241,SUNDRMFAST,Sundram Fasteners Limited
242,GRINDWELL,Grindwell Norton Limited
243,MEDANTA,Global Health Limited
244,360ONE,360 ONE WAM LIMITED
245,CREDITACC,CREDITACCESS GRAMEEN LIMITED
246,CYIENT,Cyient Limited
247,HATSUN,Hatsun Agro Product Limited
248,HUDCO,Housing & Urban Development Corporation Limited
249,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
250,IRB,IRB Infrastructure Developers Limited
251,GODREJIND,Godrej Industries Limited
252,EMAMILTD,Emami Limited
253,NH,Narayana Hrudayalaya Ltd.
254,TIMKEN,Timken India Limited
255,APARINDS,Apar Industries Limited
256,NATIONALUM,National Aluminium Company Limited
257,RAMCOCEM,The Ramco Cements Limited
258,GLENMARK,Glenmark Pharmaceuticals Limited
259,RATNAMANI,Ratnamani Metals & Tubes Limited
260,AARTIIND,Aarti Industries Limited
261,DEVYANI,Devyani International Limited
262,MRPL,Mangalore Refinery and Petrochemicals Limited
263,ISEC,ICICI Securities Limited
264,LAURUSLABS,Laurus Labs Limited
265,IIFL,IIFL Finance Limited
266,SKFINDIA,SKF India Limited
267,RELAXO,Relaxo Footwears Limited
268,KIOCL,KIOCL Limited
269,POWERINDIA,Hitachi Energy India Limited
270,RADICO,Radico Khaitan Limited
271,TATAINVEST,Tata Investment Corporation Limited
272,LALPATHLAB,Dr. Lal Path Labs Ltd.
273,FIVESTAR,Five-Star Business Finance Limited
